A02	f2f4 e7e5 f4e5 b8c6
A02	f2f4 e7e5 d2d4 e5d4 g1f3 c7c5 c2c3
A02	f2f4 f7f5 e2e4 f5e4 b1c3 g8f6 g2g4
A02	f2f4 f7f5 e2e4
A03	f2f4 d7d5
A03	f2f4 d7d5 g2g4
A03	f2f4 d7d5 g1f3 g8f6 e2e3 c7c5
A03	f2f4 d7d5 c2c4
A03	f2f4 d7d5 b2b3 g8f6 c1b2 d5d4 g1f3 c7c5 e2e3
A03	f2f4 d7d5 e2e4
A03	f2f4 d7d5 e2e4 d5e4 b1c3 g8f6 d1e2
A03	f2f4 d7d5 e2e4 d5e4 b1c3 g8f6 g1e2
A04	g1f3 c7c5 e2e3 g7g6 d2d4 f8g7 d4c5 d8a5
A04	g1f3 c7c5 c2c4 g7g6 d2d4 f8g7 e2e4 d8b6
A04	g1f3 c7c5 c2c4 g7g6 d2d4 f8g7 e2e4 d8a5
A04	g1f3 g7g6 d2d4 f8g7 e2e4 d7d6 c2c4 c7c5 d4c5 d8a5
A04	g1f3 g8h6 d2d4 g7g6
A04	g1f3 b8a6 e2e4 c7c5
A04	g1f3
A04	g1f3 f7f6
A04	g1f3 f7f6 e2e4 g8h6 d2d4 h6f7
A04	g1f3 h7h6
A04	g1f3 b8c6
A04	g1f3 b8a6 e2e4 g8h6
A04	g1f3 f7f5
A04	g1f3 g7g5
A04	g1f3 g7g6
A04	g1f3 f7f5 e2e4
A04	g1f3 f7f5 d2d3 g8f6 e2e4
A04	g1f3 d7d6
A04	g1f3 b7b5
A04	g1f3 e7e6
A04	g1f3 b7b6
A04	g1f3 e7e5
A04	g1f3 e7e6 c2c4 a7a6 b1c3 c7c5 g2g3 b7b5
A04	g1f3 c7c5
A04	g1f3 c7c6
A04	g1f3 c7c5 d2d4 c5d4 e2e3
A04	g1f3 a7a6
A04	g1f3 e7e5 f3e5 b8c6 e5c6 d7c6
A04	g1f3 d7d6 d2d4 e7e5
A04	g1f3 d7d6 e2e4 c8g4
A04	g1f3 a7a5
A05	g1f3 g8f6 g2g3 d7d5
A05	g1f3 g8f6 g2g3 g7g6 b2b4
A05	g1f3 g8f6 g2g3 b7b5
A05	g1f3 g8f6 g2g3 g7g6
A05	g1f3 g8f6 g2g3 g7g6 f1g2 f8g7 e1g1 e8g8 d2d3 d7d5
A05	g1f3 g8f6 b2b4 g7g6 c1b2
A05	g1f3 g8f6
A05	g1f3 g8f6 b1c3 b8c6
A05	g1f3 g8f6 g2g3 g7g6 b2b3 f8g7 c1b2 e8g8 f1g2 d7d6 e1g1
A05	g1f3 g8f6 e2e4
A05	g1f3 g8f6 a2a4 g7g6 b2b4
A05	g1f3 g8f6 b2b3
A05	g1f3 g8f6 e2e3
A06	g1f3 d7d5 b2b3
A06	g1f3 d7d5 b2b3 c7c5 e2e4
A06	g1f3 d7d5 b2b3 g8f6 c1b2 c7c5 e2e4
A06	g1f3 d7d5
A06	g1f3 d7d5 h1g1
A06	g1f3 d7d5 d2d3
A06	g1f3 d7d5 e2e3 c7c5 c2c4 d5c4 b2b3
A06	g1f3 d7d5 b2b3 c7c5 c2c4 d5c4 b1c3
A06	g1f3 d7d5 b1c3
A06	b2b4 d7d5 g1f3
A06	e2e4 d7d5 g1f3
A06	e2e4 d7d5 g1f3 d5e4 f3g5 g8f6 b1c3 c8f5 d1e2 d8d4
A06	g1f3 d7d5 a2a4
A07	g2g3 d7d5 g1f3 g7g5
A07	g1f3 d7d5 g2g3
A07	g1f3 g8f6 g2g3 d7d5 f1g2 c7c6 e1g1 c8f5
A07	g1f3 g8f6 g2g3 d7d5 f1g2 c7c6 e1g1 c8f5 d2d3 h7h6
A07	g1f3 g8f6 g2g3 d7d5 f1g2 c7c6 e1g1 c8f5 d2d3 h7h6 c2c4 d5c4
A07	g1f3 g8f6 g2g3 d7d5 f1g2 c7c6 e1g1 c8f5 d2d3 e7e6 b1d2
A07	g1f3 g8f6 g2g3 d7d5 f1g2 c7c6 e1g1 c8f5 d2d3 e7e6 f3h4
A07	g1f3 g8f6 g2g3 d7d5 f1g2 e7e6
A07	g1f3 g8f6 g2g3 d7d5 f1g2 e7e6 e1g1 f8e7
A07	g1f3 d7d5 g2g3 g7g6
A07	g1f3 d7d5 g2g3 c8g4
A07	g1f3 d7d5 g2g3 c8g4 f1g2 b8d7
A07	g1f3 d7d5 g2g3 c7c6 f1g2 c8g4 e1g1 b8d7
A07	g1f3 d7d5 g2g3 c7c6 f1g2 c8g4 e1g1 b8d7 d2d4 g8f6 c2c4 e7e6 c4d5 e6d5 b1c3 f8d6
A07	g1f3 d7d5 g2g3 e7e5
A07	g1f3 d7d5 g2g3 g7g6 f1g2 f8g7 e1g1 e7e5 d2d3 g8e7
A07	g1f3 d7d5 g2g3 c7c5
A07	g1f3 g8f6 g2g3 d7d5 f1g2 c7c6 e1g1 c8g4
A07	c2c4 e7e6 g1f3 d7d5 g2g3 g8f6 f1g2 b7b6 e1g1
A08	g1f3 d7d5 g2g3 c7c5 f1g2 b8c6
A08	e2e4 e7e6 d2d3 d7d5 b1d2 g8f6 g1f3 c7c5 g2g3 b8c6 f1g2 f8e7 e1g1 e8g8 f1e1
A08	g1f3 d7d5 g2g3 c7c5 f1g2
A08	g1f3 d7d5 g2g3 c7c5 f1g2 g8f6 e1g1 e7e6 d2d3
A08	g1f3 d7d5 g2g3 c7c5 f1g2 b8c6 d2d4
A08	g1f3 d7d5 g2g3 c7c5 f1g2 b8c6 d2d4 g8f6
A08	g1f3 d7d5 g2g3 c7c5 f1g2 b8c6 d2d4 g8f6 e1g1
A08	g1f3 d7d5 g2g3 c7c5 f1g2 b8c6 d2d4 e7e6 e1g1
A09	g1f3 d7d5 c2c4
A09	g1f3 d7d5 c2c4 d5d4
A09	g1f3 d7d5 c2c4 d5d4 b2b4 c7c5
A09	g1f3 d7d5 c2c4 d5d4 b2b4 g7g5
A09	g1f3 d7d5 c2c4 d5d4 h1g1
A09	g1f3 d7d5 c2c4 d5d4 e2e3 c7c5 b2b4
A09	g1f3 d7d5 c2c4 d5c4
A09	g1f3 d7d5 c2c4 d5c4 e2e3 c8e6
A09	g1f3 d7d5 c2c4 b7b5
A10	c2c4
A10	c2c4 g8f6 e2e4
A10	c2c4 g7g6 e2e4 e7e5
A10	c2c4 f7f5
A10	c2c4 f7f5 e2e4
A10	c2c4 f7f5 g1f3 d7d6 e2e4
A10	c2c4 f7f5 b1c3 g8f6 e2e4
A10	c2c4 b8c6
A10	c2c4 d7d5
A10	c2c4 d7d5 c4d5 e7e6
A10	c2c4 d7d5 c4d5 d8d5 b1c3 d5a5
A10	c2c4 d7d5 c4d5 g8f6
A10	c2c4 g7g6
A10	c2c4 b7b5
A10	c2c4 g7g6 b1c3 f8g7 g2g3 g8f6 f1g2 e8g8 e2e4 d7d6 g1e2 e7e5 e1g1 c7c6 d2d3 a7a6
A10	c2c4 g7g5
A10	c2c4 g7g5 d2d4 f8g7
A10	c2c4 f7f5 b1c3 g8f6 e2e4 f5e4 g2g4
A10	c2c4 f7f5 g2g4
A10	c2c4 g7g5 d2d4 e7e5
A11	c2c4 c7c6
A11	c2c4 c7c6 g1f3 d7d5 e2e3
A11	c2c4 c7c6 g1f3 d7d5 e2e3 g8f6 d1c2
A11	c2c4 c7c6 g1f3 d7d5 e2e3 g8f6 b1c3 b8d7 d1c2
A11	c2c4 c7c6 g1f3 d7d5 e2e3 g8f6 b1c3 b8d7 b2b3 e7e5
A11	c2c4 c7c6 g1f3 d7d5 e2e3 g8f6 b1c3 e7e6 b2b3 f8d6
A11	c2c4 c7c6 g1f3 d7d5 g2g3 g8f6 b2b3 g7g6
A11	c2c4 c7c6 g1f3 d7d5 g2g3 g8f6 f1g2
A11	c2c4 c7c6 g1f3 d7d5 g2g3 g8f6 f1g2 d5c4
A11	c2c4 c7c6 g1f3 d7d5 g2g3 g8f6 f1g2 c8f5
A11	c2c4 c7c6 g1f3 d7d5 g2g3 g8f6 f1g2 c8f5 e1g1 e7e6 d2d3
A11	g1f3 g8f6 g2g3 d7d5 f1g2 c7c6 e1g1 c8f5 d2d3 h7h6 c2c4 e7e6
A12	c2c4 g8f6 g2g3 c7c6 g1f3 d7d5 b2b3
A12	g1f3 d7d5 b2b3 g8f6 c1b2 g7g6 c2c4 c7c6
A12	g1f3 d7d5 c2c4 c7c6 b2b3
A12	g1f3 d7d5 c2c4 c7c6 b2b3 c8g4
A12	g1f3 d7d5 c2c4 c7c6 b2b3 c8f5
A12	g1f3 d7d5 c2c4 c7c6 b2b3 c8f5 c1b2
A12	c2c4 g8f6 g1f3 c7c6 b2b3 d7d5 c1b2 c8g4
A12	c2c4 g8f6 g1f3 c7c6 b2b3 d7d5 c1b2 c8g4 e2e3
A12	c2c4 g8f6 g1f3 c7c6 b2b3 d7d5 c1b2 c8g4 d2d3
A12	c2c4 g8f6 g2g3 c7c6 g1f3 d7d5 b2b3 c8f5
A12	c2c4 g8f6 g2g3 c7c6 g1f3 d7d5 b2b3 c8f5 f1g2
A12	c2c4 g8f6 g2g3 c7c6 g1f3 d7d5 b2b3 c8f5 f1g2 e7e6 c1b2
A12	c2c4 g8f6 g2g3 c7c6 g1f3 d7d5 b2b3 c8f5 c1b2
A12	g1f3 g8f6 c2c4 c7c6 b2b3 d7d5 c1b2 c8f5
A12	g1f3 g8f6 c2c4 c7c6 b2b3 d7d5 c1b2 c8f5 e2e3
A12	g1f3 g8f6 c2c4 c7c6 b2b3 d7d5 c1b2 c8f5 d2d3
A12	c2c4 g8f6 g2g3 c7c6 g1f3 d7d5 b2b3 c8g4
A12	c2c4 g8f6 g2g3 c7c6 g1f3 d7d5 b2b3 c8g4 f1g2
A12	c2c4 g8f6 g2g3 c7c6 g1f3 d7d5 b2b3 c8g4 f1g2 e7e6 c1b2
A12	c2c4 g8f6 g2g3 c7c6 g1f3 d7d5 b2b3 c8g4 c1b2
A12	c2c4 g8f6 g2g3 c7c6 g1f3 d7d5 b2b3 d5c4
A13	c2c4 e7e6
A13	c2c4 e7e6 g1f3
A13	c2c4 e7e6 g1f3 d7d5
A13	c2c4 e7e6 g1f3 d7d5 b2b3 g8f6 c1b2 f8e7 e2e3 e8g8
A13	c2c4 e7e6 g1f3 d7d5 b2b3 g8f6 c1b2 f8e7 e2e3 e8g8 d2d4
A13	c2c4 e7e6 g1f3 d7d5 g2g3 g8f6 f1g2 f8d6
A13	c2c4 e7e6 g1f3 d7d5 g2g3 b7b6 f1g2 c8b7 e1g1
A13	c2c4 e7e6 g1f3 d7d5 g2g3 c7c5
A13	c2c4 e7e6 g1f3 g8f6 g2g3 d7d5 f1g2 d5c4
A13	c2c4 e7e6 g1f3 g8f6 g2g3 d7d5 f1g2 c7c6
A13	c2c4 e7e6 g1f3 d7d5 g2g3 c7c6
A13	c2c4 e7e6 g1f3 d7d5 g2g3 g8f6 f1g2 c7c5 b2b3 b8c6 e1g1 f8e7
A13	c2c4 e7e6 g1f3 g8f6 b2b3 d7d5 c1b2 c7c5 e2e3
A13	c2c4 e7e6 g1f3 d7d5 g2g3 g8f6
A13	c2c4 e7e6 g1f3 d7d5 g2g3 g8f6 f1g2 f8e7
A13	c2c4 g8f6 g1f3 e7e6 g2g3 a7a6 f1g2 b7b5
A14	c2c4 e7e6 g1f3 d7d5 g2g3 g8f6 f1g2 f8e7 e1g1 c7c5 c4d5 f6d5 b1c3 b8c6
A14	c2c4 e7e6 g1f3 d7d5 g2g3 g8f6 f1g2 f8e7 e1g1
A14	c2c4 e7e6 g1f3 d7d5 g2g3 g8f6 f1g2 f8e7 e1g1 e8g8 b2b3
A14	g1f3 d7d5 g2g3 g8f6 f1g2 e7e6 e1g1 f8e7 c2c4 e8g8 b2b3 c7c5
A14	g1f3 d7d5 g2g3 g8f6 f1g2 e7e6 e1g1 f8e7 c2c4 e8g8 b2b3 c7c5 e2e3
A14	g1f3 d7d5 g2g3 g8f6 f1g2 e7e6 e1g1 f8e7 c2c4 e8g8 b2b3 c7c5 e2e3 d5d4
A14	g1f3 d7d5 g2g3 g8f6 f1g2 e7e6 e1g1 f8e7 c2c4 e8g8 b2b3 c7c5 e2e3 b8c6
A14	c2c4 e7e6 g1f3 d7d5 g2g3 g8f6 f1g2 f8e7 b2b3
A14	c2c4 e7e6 g1f3 d7d5 g2g3 g8f6 f1g2 f8e7 b2b3 b7b6
A14	c2c4 e7e6 g1f3 d7d5 g2g3 g8f6 f1g2 f8e7 b2b3 c7c5
A14	g1f3 d7d5 c2c4 c7c6 g2g3 g8f6 f1g2 e7e6 b2b3 f8e7 c1b2
A14	g1f3 d7d5 c2c4 e7e6 g2g3 g8f6 f1g2 f8e7 e1g1 e8g8 b2b3 c7c6 c1b2
A15	c2c4 g8f6
A15	c2c4 g8f6 b1c3 g7g6 g1f3 f8g7 e2e4
A15	c2c4 g8f6 g1f3 g7g6 g2g3 d7d5
A15	c2c4 g8f6 g1f3 g7g6
A15	c2c4 g8f6 g1f3 g7g6 g2g3 b7b6 f1g2 c8b7
A15	c2c4 g8f6 g1f3
A15	c2c4 g8f6 g1f3 d7d6
A15	c2c4 g8f6 g1f3 b7b6
A15	c2c4 e7e6 g1f3 g8f6 g2g3 b7b6 f1g2 c8b7
A15	c2c4 e7e6 g1f3 g8f6 g2g3 a7a6
A15	c2c4 g8f6 g1f3 d7d5
A15	c2c4 g8f6 g1f3 d7d5 c4d5 f6d5
A15	c2c4 g8f6 g1f3 g7g6 g2g3 c7c6
A15	c2c4 g8f6 b2b4
A15	c2c4 g8f6 g1f3 g7g6 b2b4
A16	c2c4 g8f6 b1c3 d7d5
A16	c2c4 g8f6 b1c3 d7d5 c4d5 f6d5 g1f3 g7g6 g2g3 f8g7 f1g2 e7e5
A16	c2c4 g8f6 b1c3 d7d5 c4d5 f6d5 g1f3
A16	c2c4 g8f6 b1c3 d7d5 c4d5 f6d5 g1f3 g7g6
A16	c2c4 g8f6 b1c3 d7d5 c4d5 f6d5 g2g3 g7g6 f1g2 d5b6
A16	c2c4 g8f6 b1c3 d7d5 c4d5 f6d5 g2g3 g7g6 f1g2 d5c3
A16	c2c4 g8f6 b1c3
